MID,fclass
0,trunk
1,trunk
2,trunk
3,trunk
4,trunk
5,trunk_link
6,secondary
7,secondary
8,motorway_link
9,trunk_link
10,trunk_link
11,trunk
12,tertiary
13,trunk
14,trunk_link
15,tertiary
16,tertiary
17,trunk
18,primary
19,primary
20,trunk
21,trunk
22,trunk
23,trunk_link
24,trunk
25,trunk
26,tertiary
27,tertiary
28,tertiary
29,trunk_link
30,trunk_link
31,primary
32,primary
33,trunk_link
34,trunk_link
35,trunk_link
36,tertiary
37,primary
38,trunk_link
39,tertiary
40,tertiary
41,tertiary
42,tertiary
43,primary
44,trunk_link
45,trunk
46,tertiary
47,trunk_link
48,trunk
49,trunk_link
50,primary
51,secondary
52,tertiary
53,tertiary
54,trunk_link
55,primary
56,tertiary
57,tertiary
58,trunk
59,primary_link
60,primary
61,primary
62,trunk_link
63,trunk_link
64,primary
65,primary
66,trunk_link
67,trunk_link
68,tertiary
69,trunk
70,trunk
71,tertiary
72,secondary
73,primary
74,primary
75,trunk_link
76,tertiary
77,secondary
78,tertiary
79,tertiary
80,secondary
81,primary
82,tertiary
83,primary_link
84,primary_link
85,trunk
86,secondary
87,secondary
88,primary
89,primary
90,tertiary
91,tertiary
92,tertiary_link
93,tertiary
94,primary
95,primary
96,tertiary
97,primary
98,tertiary
99,tertiary
100,tertiary_link
101,primary
102,primary
103,tertiary
104,tertiary
105,tertiary
106,tertiary
107,tertiary_link
108,tertiary
109,tertiary
110,tertiary
111,tertiary
112,tertiary
113,tertiary
114,tertiary
115,tertiary
116,tertiary
117,tertiary
118,tertiary_link
119,primary
120,tertiary
121,tertiary
122,trunk
123,secondary
124,secondary
125,secondary
126,tertiary
127,primary
128,tertiary_link
129,trunk
130,secondary
131,secondary
132,primary
133,secondary
134,primary
135,secondary
136,secondary
137,trunk
138,tertiary
139,primary
140,primary
141,primary
142,tertiary
143,primary
144,secondary
145,tertiary
146,primary
147,primary
148,primary
149,primary
150,tertiary
151,motorway
152,motorway
153,trunk_link
154,trunk
155,trunk
156,tertiary
157,secondary
158,tertiary
159,trunk
160,tertiary
161,trunk_link
162,trunk
163,tertiary
164,primary
165,trunk_link
166,trunk_link
167,tertiary
168,trunk
169,tertiary_link
170,trunk
171,trunk_link
172,tertiary
173,tertiary
174,tertiary_link
175,tertiary
176,secondary
177,secondary
178,tertiary
179,tertiary
180,tertiary
181,primary
182,primary
183,trunk_link
184,trunk_link
185,tertiary
186,trunk
187,secondary
188,tertiary
189,trunk
190,primary
191,secondary_link
192,primary
193,secondary
194,secondary
195,secondary
196,tertiary
197,secondary
198,secondary
199,secondary
200,secondary
201,secondary
202,secondary
203,secondary_link
204,secondary
205,secondary
206,secondary
207,secondary
208,secondary
209,secondary
210,secondary
211,tertiary
212,primary
213,tertiary
214,tertiary
215,secondary
216,primary
217,tertiary
218,secondary_link
219,tertiary
220,secondary_link
221,secondary
222,secondary
223,secondary
224,secondary
225,secondary
226,tertiary
227,secondary
228,secondary
229,tertiary
230,secondary
231,secondary
232,primary
233,primary
234,secondary
235,primary
236,secondary
237,secondary
238,primary
239,secondary
240,trunk
241,primary
242,secondary
243,primary
244,primary
245,secondary
246,secondary
247,secondary
248,primary
249,primary
250,secondary
251,trunk
252,tertiary_link
253,tertiary_link
254,trunk
255,primary
256,primary
257,tertiary
258,tertiary
259,secondary
260,primary
261,primary
262,tertiary
263,primary
264,tertiary
265,secondary
266,secondary
267,tertiary
268,secondary
269,trunk
270,secondary
271,tertiary
272,tertiary
273,trunk
274,trunk
275,trunk
276,trunk
277,trunk
278,secondary
279,trunk
280,secondary
281,tertiary
282,secondary
283,tertiary_link
284,tertiary
285,tertiary
286,secondary
287,tertiary
288,primary
289,tertiary
290,primary
291,tertiary
292,trunk
293,secondary
294,tertiary_link
295,tertiary
296,tertiary
297,primary
298,tertiary
299,primary
300,primary
301,primary_link
302,primary_link
303,trunk
304,secondary
305,secondary
306,primary_link
307,primary
308,secondary
309,trunk
310,tertiary
311,primary_link
312,secondary
313,trunk
314,trunk
315,primary_link
316,trunk
317,secondary
318,secondary
319,secondary
320,secondary
321,primary
322,primary_link
323,primary
324,primary
325,primary_link
326,secondary
327,secondary
328,tertiary
329,secondary
330,primary
331,primary
332,primary
333,trunk
334,primary
335,trunk
336,primary
337,secondary
338,primary
339,primary
340,primary_link
341,trunk
342,primary
343,trunk_link
344,primary
345,tertiary
346,trunk
347,primary_link
348,trunk_link
349,primary
350,secondary
351,primary_link
352,primary_link
353,secondary
354,secondary
355,trunk
356,tertiary
357,tertiary
358,primary
359,tertiary
360,primary
361,primary
362,primary_link
363,primary
364,primary
365,primary
366,tertiary
367,tertiary
368,primary
369,primary
370,tertiary
371,primary
372,tertiary
373,primary
374,primary
375,primary
376,primary
377,primary
378,primary
379,primary_link
380,tertiary
381,secondary
382,primary
383,primary
384,secondary
385,primary
386,primary
387,primary
388,primary
389,primary
390,primary
391,primary
392,trunk
393,primary
394,primary_link
395,secondary
396,secondary
397,tertiary
398,primary
399,primary
400,primary
401,primary
402,primary
403,primary
404,primary
405,primary_link
406,motorway_link
407,primary
408,tertiary
409,primary
410,primary
411,primary_link
412,trunk
413,secondary
414,primary
415,primary_link
416,primary
417,primary
418,secondary
419,primary
420,trunk
421,primary
422,trunk
423,secondary
424,primary
425,primary_link
426,primary
427,secondary
428,secondary
429,primary
430,primary
431,primary_link
432,primary_link
433,primary
434,primary
435,trunk
436,primary
437,primary
438,primary
439,primary
440,primary
441,trunk
442,secondary
443,primary
444,primary_link
445,secondary
446,secondary
447,tertiary
448,tertiary
449,primary
450,trunk
451,secondary
452,primary
453,secondary
454,primary
455,primary
456,tertiary
457,primary
458,primary
459,secondary
460,secondary
461,primary
462,secondary
463,primary
464,secondary
465,primary
466,secondary
467,secondary
468,secondary
469,secondary
470,trunk
471,secondary
472,tertiary
473,tertiary
474,primary
475,tertiary
476,primary
477,primary
478,primary
479,tertiary_link
480,tertiary
481,trunk
482,trunk
483,tertiary_link
484,secondary
485,tertiary
486,secondary
487,secondary
488,tertiary
489,tertiary
490,secondary
491,primary
492,secondary
493,primary
494,secondary
495,secondary
496,secondary
497,tertiary
498,tertiary
499,secondary
500,tertiary
501,tertiary
502,tertiary
503,primary
504,tertiary
505,trunk
506,tertiary
507,tertiary
508,primary_link
509,primary
510,primary
511,primary
512,trunk
513,trunk_link
514,primary
515,trunk
516,primary
517,tertiary
518,secondary
519,secondary
520,tertiary
521,secondary
522,trunk_link
523,tertiary
524,secondary
525,secondary
526,secondary
527,secondary
528,primary_link
529,trunk
530,trunk
531,tertiary
532,trunk
533,secondary
534,secondary
535,tertiary
536,tertiary
537,tertiary
538,trunk
539,tertiary
540,tertiary
541,tertiary
542,primary_link
543,primary_link
544,trunk
545,tertiary
546,motorway_link
547,tertiary
548,primary
549,tertiary
550,tertiary
551,tertiary
552,tertiary
553,trunk_link
554,tertiary
555,primary
556,secondary
557,primary
558,tertiary
559,primary
560,secondary
561,secondary
562,tertiary
563,secondary
564,primary
565,primary
566,primary
567,primary
568,tertiary
569,tertiary
570,secondary
571,secondary
572,tertiary
573,tertiary
574,trunk_link
575,trunk_link
576,trunk
577,trunk_link
578,trunk
579,tertiary
580,trunk_link
581,primary_link
582,secondary
583,primary_link
584,tertiary
585,trunk
586,primary_link
587,tertiary
588,tertiary
589,trunk
590,tertiary
591,tertiary
592,tertiary
593,tertiary
594,trunk
595,trunk
596,tertiary
597,primary_link
598,primary_link
599,trunk
600,primary
601,primary
602,tertiary
603,tertiary
604,tertiary
605,primary
606,primary
607,secondary
608,primary
609,secondary
610,primary
611,tertiary
612,tertiary
613,tertiary
614,tertiary
615,tertiary
616,tertiary
617,secondary
618,secondary
619,secondary
620,secondary
621,secondary
622,secondary
623,primary
624,secondary
625,primary
626,secondary
627,secondary
628,secondary
629,primary
630,primary
631,primary
632,secondary
633,primary
634,primary
635,primary
636,secondary
637,secondary
638,tertiary
639,secondary
640,secondary
641,tertiary
642,tertiary
643,secondary
644,secondary
645,primary
646,primary
647,trunk_link
648,primary
649,trunk_link
650,primary
651,tertiary
652,trunk_link
653,primary
654,trunk_link
655,primary
656,tertiary
657,tertiary
658,trunk
659,primary
660,trunk
661,secondary
662,secondary
663,secondary
664,secondary
665,tertiary
666,secondary
667,secondary
668,secondary
669,secondary
670,secondary
671,trunk
672,primary_link
673,secondary
674,secondary
675,secondary
676,secondary
677,secondary
678,secondary
679,primary
680,primary
681,primary
682,primary
683,primary
684,secondary
685,trunk_link
686,secondary
687,secondary
688,primary
689,primary_link
690,secondary
691,primary
692,trunk
693,secondary
694,tertiary
695,primary
696,primary
697,primary
698,primary
699,trunk_link
700,primary
701,tertiary
702,secondary
703,tertiary
704,secondary
705,secondary
706,primary
707,primary
708,tertiary
709,tertiary
710,tertiary
711,tertiary
712,tertiary
713,primary
714,tertiary
715,secondary
716,tertiary
717,tertiary
718,secondary
719,tertiary
720,secondary
721,tertiary
722,secondary
723,primary
724,primary_link
725,secondary
726,secondary
727,secondary
728,tertiary
729,tertiary
730,tertiary
731,secondary
732,tertiary
733,secondary
734,tertiary
735,secondary
736,secondary
737,tertiary
738,secondary
739,primary
740,secondary
741,primary
742,primary
743,secondary
744,primary
745,trunk_link
746,primary
747,secondary
748,primary
749,tertiary
750,trunk
751,secondary
752,tertiary
753,tertiary
754,trunk_link
755,tertiary
756,tertiary
757,tertiary
758,tertiary
759,tertiary
760,tertiary
761,trunk_link
762,secondary
763,tertiary
764,trunk
765,secondary
766,tertiary
767,secondary
768,primary
769,secondary
770,secondary
771,secondary
772,primary
773,secondary
774,primary
775,secondary
776,tertiary
777,primary
778,secondary
779,tertiary
780,primary
781,primary_link
782,primary
783,trunk_link
784,primary_link
785,primary
786,trunk
787,trunk
788,trunk_link
789,secondary
790,primary
791,primary_link
792,secondary
793,secondary
794,secondary
795,secondary
796,secondary
797,secondary
798,primary
799,secondary
800,motorway_link
801,tertiary
802,secondary
803,primary
804,tertiary
805,tertiary
806,primary_link
807,tertiary
808,secondary
809,tertiary
810,tertiary
811,secondary
812,tertiary
813,primary_link
814,tertiary
815,primary
816,secondary
817,tertiary
818,primary
819,secondary
820,secondary
821,secondary
822,primary
823,primary
824,secondary
825,primary
826,secondary
827,primary
828,primary
829,secondary
830,tertiary
831,secondary
832,secondary
833,secondary
834,tertiary
835,secondary
836,tertiary
837,secondary
838,tertiary
839,secondary
840,secondary
841,secondary
842,secondary
843,secondary
844,secondary
845,secondary
846,secondary
847,secondary
848,secondary
849,secondary
850,secondary
851,primary_link
852,tertiary
853,secondary
854,tertiary
855,tertiary
856,tertiary
857,primary
858,tertiary
859,secondary
860,secondary
861,primary
862,secondary
863,primary
864,secondary
865,secondary
866,primary
867,trunk_link
868,secondary_link
869,primary
870,primary
871,secondary
872,tertiary
873,tertiary
874,secondary
875,trunk
876,tertiary_link
877,tertiary
878,secondary
879,trunk
880,tertiary_link
881,tertiary
882,tertiary
883,tertiary_link
884,trunk
885,trunk
886,trunk
887,trunk
888,secondary
889,secondary
890,trunk
891,trunk
892,primary
893,secondary
894,secondary
895,secondary
896,secondary
897,secondary
898,secondary
899,tertiary
900,primary
901,trunk
902,primary
903,trunk
904,trunk
905,trunk
906,secondary
907,primary
908,trunk
909,secondary
910,trunk
911,trunk
912,trunk
913,trunk
914,secondary
915,trunk_link
916,primary
917,trunk
918,trunk
919,primary
920,secondary
921,secondary
922,secondary
923,secondary
924,trunk_link
925,trunk
926,trunk
927,secondary
928,tertiary
929,tertiary
930,trunk
931,trunk
932,trunk
933,trunk
934,trunk
935,trunk
936,trunk
937,trunk
938,trunk
939,trunk
940,trunk
941,trunk
942,trunk
943,trunk
944,secondary
945,secondary
946,trunk_link
947,trunk_link
948,secondary
949,secondary
950,trunk
951,secondary
952,trunk
953,trunk
