MID,LENGTH,FNODE1,TNODE1
0,5581.7 ,4,50
1,4969.1 ,45,11
2,154.6 ,24,8
3,115.0 ,9,26
4,181.0 ,11,12
5,184.6 ,11,16
6,1547.4 ,217,18
7,1547.5 ,19,218
8,47.3 ,28,26
9,48.7 ,29,24
10,57.6 ,34,35
11,168.0 ,34,24
12,344.6 ,36,71
13,152.8 ,26,38
14,43.5 ,39,38
15,309.7 ,84,47
16,310.8 ,48,86
17,442.9 ,51,45
18,17.3 ,56,53
19,58.6 ,54,62
20,458.8 ,59,60
21,524.4 ,64,59
22,164.6 ,68,64
23,542.1 ,75,64
24,391.9 ,38,69
25,431.1 ,70,34
26,59.9 ,72,71
27,144.6 ,71,73
28,272.9 ,74,73
29,448.2 ,62,60
30,491.8 ,51,56
31,36.7 ,80,77
32,36.6 ,78,81
33,104.8 ,80,75
34,17.1 ,81,80
35,56.5 ,82,81
36,856.5 ,83,72
37,61.3 ,81,85
38,52.1 ,82,85
39,7.5 ,84,86
40,6.1 ,87,84
41,5.4 ,86,88
42,1169.6 ,153,88
43,282.7 ,62,90
44,576.4 ,59,90
45,468.3 ,91,105
46,2487.1 ,93,208
47,664.8 ,95,82
48,215.5 ,95,96
49,239.8 ,97,75
50,153.4 ,97,80
51,171.0 ,98,99
52,6.5 ,100,101
53,4.8 ,102,100
54,704.6 ,103,45
55,368.8 ,103,56
56,6.5 ,104,102
57,4.8 ,101,104
58,252.1 ,107,95
59,14.1 ,108,109
60,6.2 ,109,110
61,6.3 ,111,109
62,22.3 ,109,112
63,57.3 ,109,118
64,92.3 ,137,109
65,98.2 ,109,138
66,58.1 ,122,109
67,446.4 ,118,95
68,1173.5 ,86,151
69,1164.4 ,120,141
70,108.8 ,125,126
71,305.9 ,101,128
72,75.0 ,128,98
73,99.3 ,129,97
74,185.6 ,85,129
75,442.4 ,125,122
76,307.5 ,130,104
77,9.8 ,130,128
78,10.8 ,131,130
79,14.3 ,128,131
80,84.8 ,98,131
81,142.7 ,90,134
82,599.5 ,131,191
83,92.8 ,118,137
84,97.2 ,122,138
85,1056.0 ,142,125
86,105.4 ,180,144
87,102.1 ,145,181
88,204.2 ,147,103
89,122.6 ,134,150
90,2.5 ,152,151
91,150.6 ,151,154
92,39.2 ,154,147
93,28.7 ,154,155
94,29.4 ,155,147
95,1.2 ,155,156
96,15.2 ,155,157
97,14.6 ,150,157
98,57.7 ,151,158
99,61.3 ,159,153
100,175.7 ,160,150
101,23.1 ,157,169
102,21.8 ,168,155
103,166.0 ,167,153
104,26.5 ,168,167
105,17.4 ,169,168
106,120.5 ,170,171
107,350.4 ,134,171
108,49.4 ,171,172
109,635.2 ,172,100
110,5.0 ,172,173
111,626.4 ,102,173
112,129.8 ,174,175
113,42.4 ,176,174
114,3.2 ,176,172
115,4.9 ,177,176
116,3.2 ,173,177
117,0.8 ,178,176
118,38.4 ,179,167
119,19.7 ,179,168
120,556.4 ,173,102
121,559.7 ,104,177
122,398.0 ,182,183
123,213.6 ,131,184
124,214.3 ,185,130
125,5.2 ,185,184
126,1116.6 ,72,186
127,48.8 ,169,187
128,277.9 ,174,187
129,391.2 ,188,189
130,404.8 ,184,191
131,230.1 ,191,192
132,251.6 ,192,129
133,10.7 ,192,193
134,260.0 ,129,193
135,50.0 ,194,185
136,50.4 ,184,194
137,458.5 ,183,199
138,590.9 ,196,197
139,235.7 ,198,137
140,22.5 ,200,198
141,254.3 ,138,200
142,78.9 ,202,198
143,36.2 ,202,200
144,110.9 ,203,194
145,979.2 ,197,218
146,148.4 ,205,192
147,146.6 ,193,206
148,181.6 ,187,207
149,215.3 ,208,179
150,13.4 ,208,207
151,712.3 ,183,209
152,741.2 ,210,188
153,185.2 ,211,230
154,394.1 ,213,278
155,103.0 ,227,216
156,7.5 ,218,217
157,738.6 ,291,289
158,152.1 ,240,225
159,727.3 ,226,188
160,858.0 ,282,249
161,85.7 ,231,227
162,288.4 ,279,227
163,879.0 ,256,284
164,1073.4 ,562,439
165,198.2 ,245,246
166,308.4 ,247,246
167,156.0 ,250,240
168,1323.5 ,565,252
169,55.4 ,249,256
170,323.5 ,257,258
171,295.7 ,259,258
172,36.9 ,249,260
173,37.5 ,260,256
174,59.2 ,256,274
175,592.3 ,264,265
176,142.3 ,264,266
177,143.1 ,267,264
178,934.9 ,268,277
179,1533.7 ,197,705
180,43.9 ,260,274
181,426.4 ,277,208
182,424.8 ,207,277
183,106.8 ,246,278
184,60.8 ,279,280
185,309.0 ,240,286
186,11.6 ,278,282
187,463.0 ,501,264
188,168.4 ,274,353
189,39.6 ,286,279
190,64.8 ,288,289
191,72.5 ,284,290
192,65.8 ,291,292
193,186.9 ,290,293
194,221.9 ,293,294
195,31.0 ,294,295
196,47.6 ,284,296
197,50.0 ,296,290
198,186.0 ,293,297
199,1225.2 ,300,299
200,566.5 ,295,300
201,9.0 ,300,299
202,48.8 ,297,296
203,71.0 ,302,284
204,54.2 ,302,296
205,222.1 ,294,293
206,52.4 ,296,304
207,11.1 ,299,305
208,567.1 ,306,295
209,11.0 ,306,300
210,8.8 ,305,306
211,821.6 ,428,310
212,49.0 ,289,309
213,238.1 ,314,310
214,1173.4 ,333,314
215,414.1 ,382,302
216,50.8 ,328,291
217,821.1 ,310,435
218,75.7 ,341,304
219,48.7 ,296,341
220,65.2 ,297,341
221,409.8 ,304,401
222,88.3 ,345,346
223,202.4 ,346,347
224,166.3 ,346,348
225,7.9 ,350,346
226,10.6 ,341,351
227,406.3 ,348,363
228,166.1 ,354,350
229,7.5 ,348,354
230,990.5 ,361,370
231,1007.9 ,375,366
232,36.0 ,309,364
233,83.9 ,309,361
234,425.1 ,372,354
235,68.4 ,363,328
236,66.3 ,364,361
237,58.5 ,363,365
238,32.5 ,365,328
239,14.1 ,365,364
240,411.2 ,367,447
241,4.8 ,364,369
242,49.1 ,366,369
243,608.5 ,370,202
244,5.9 ,371,365
245,13.7 ,369,371
246,40.0 ,371,372
247,10.8 ,370,373
248,647.0 ,200,373
249,4.2 ,375,370
250,10.9 ,373,375
251,120.5 ,376,286
252,76.5 ,353,382
253,73.1 ,389,353
254,91.1 ,405,376
255,84.2 ,366,390
256,76.5 ,391,372
257,66.3 ,354,386
258,260.1 ,475,314
259,76.6 ,389,382
260,56.5 ,369,390
261,55.6 ,391,371
262,1856.5 ,73,575
263,572.7 ,574,277
264,171.5 ,386,438
265,674.9 ,456,217
266,675.2 ,218,460
267,300.6 ,449,376
268,65.6 ,382,401
269,238.4 ,282,402
270,310.6 ,492,389
271,522.4 ,443,386
272,529.4 ,408,560
273,154.2 ,410,411
274,157.4 ,410,412
275,166.1 ,402,462
276,53.5 ,402,434
277,50.1 ,436,405
278,70.1 ,425,389
279,169.7 ,489,405
280,73.0 ,401,425
281,46.9 ,428,429
282,141.5 ,425,448
283,178.6 ,401,425
284,14.5 ,435,428
285,360.2 ,439,428
286,161.2 ,438,350
287,632.1 ,445,441
288,10.9 ,439,442
289,356.2 ,435,442
290,105.0 ,443,391
291,174.0 ,449,450
292,140.8 ,451,410
293,56.9 ,448,461
294,91.0 ,448,461
295,152.0 ,456,457
296,1134.3 ,475,592
297,398.8 ,499,473
298,242.6 ,483,475
299,102.4 ,484,486
300,28.1 ,486,487
301,46.1 ,487,486
302,100.6 ,462,492
303,95.5 ,462,520
304,111.6 ,461,496
305,89.7 ,520,492
306,53.1 ,500,499
307,44.9 ,500,499
308,465.2 ,264,502
309,80.0 ,520,489
310,122.2 ,550,475
311,80.8 ,527,489
312,89.2 ,496,520
313,256.8 ,509,510
314,265.0 ,513,514
315,79.3 ,496,541
316,61.1 ,520,541
317,39.4 ,527,520
318,523.9 ,651,438
319,43.0 ,502,530
320,44.1 ,531,501
321,20.0 ,531,530
322,70.3 ,532,501
323,49.3 ,532,531
324,47.3 ,530,533
325,71.6 ,502,533
326,10.8 ,530,534
327,420.6 ,607,527
328,284.1 ,536,537
329,10.9 ,538,531
330,19.1 ,534,538
331,48.7 ,540,534
332,57.6 ,538,542
333,42.5 ,514,543
334,1343.1 ,533,500
335,51.9 ,545,509
336,487.3 ,373,586
337,41.6 ,520,547
338,1664.9 ,487,540
339,357.4 ,599,443
340,30.9 ,555,547
341,51.2 ,555,520
342,1488.2 ,586,532
343,70.4 ,514,559
344,219.2 ,442,559
345,332.4 ,560,449
346,13.1 ,561,555
347,13.7 ,561,555
348,77.6 ,562,509
349,1477.7 ,542,591
350,51.0 ,534,566
351,69.8 ,540,566
352,89.0 ,567,542
353,55.9 ,567,538
354,419.1 ,547,607
355,1003.0 ,258,569
356,88.3 ,537,572
357,276.1 ,537,575
358,456.2 ,579,375
359,175.3 ,597,584
360,28.0 ,587,579
361,13.3 ,587,586
362,44.6 ,588,579
363,30.4 ,588,587
364,249.7 ,622,562
365,6.9 ,586,591
366,367.2 ,592,435
367,385.7 ,560,607
368,7.6 ,594,587
369,15.5 ,591,594
370,275.2 ,592,623
371,927.3 ,774,594
372,267.5 ,597,560
373,463.2 ,390,600
374,1003.4 ,594,617
375,963.4 ,615,588
376,718.4 ,277,604
377,104.6 ,600,615
378,114.1 ,618,599
379,226.0 ,608,574
380,60.9 ,609,627
381,62.7 ,611,612
382,495.4 ,612,608
383,1161.4 ,675,612
384,8.5 ,612,614
385,79.5 ,616,599
386,78.3 ,600,616
387,61.4 ,616,615
388,52.1 ,617,616
389,71.2 ,618,616
390,43.2 ,616,619
391,248.6 ,559,620
392,323.5 ,541,621
393,595.7 ,624,612
394,20.3 ,620,623
395,1419.7 ,625,634
396,64.4 ,621,625
397,234.7 ,682,629
398,49.9 ,630,624
399,156.9 ,608,630
400,215.5 ,630,574
401,72.9 ,604,630
402,97.8 ,617,661
403,95.6 ,662,619
404,52.1 ,630,633
405,97.4 ,604,633
406,251.5 ,627,635
407,32.1 ,620,636
408,28.6 ,623,636
409,27.7 ,641,636
410,22.6 ,636,638
411,31.2 ,623,638
412,33.0 ,621,639
413,52.5 ,639,625
414,27.2 ,641,622
415,36.4 ,642,622
416,20.3 ,642,641
417,13.9 ,643,636
418,38.7 ,647,639
419,19.2 ,641,645
420,344.7 ,647,561
421,101.1 ,649,630
422,22.3 ,639,650
423,50.2 ,634,650
424,561.5 ,651,618
425,24.3 ,653,645
426,22.1 ,653,641
427,38.3 ,650,659
428,8.4 ,655,651
429,589.3 ,619,655
430,34.6 ,636,657
431,31.8 ,643,657
432,79.2 ,658,624
433,51.4 ,658,630
434,692.6 ,633,651
435,23.9 ,659,647
436,3015.0 ,638,700
437,89.4 ,616,661
438,647.6 ,655,649
439,90.0 ,662,616
440,3025.1 ,702,643
441,31.6 ,650,664
442,61.5 ,634,664
443,75.8 ,630,665
444,111.2 ,649,665
445,714.3 ,710,456
446,778.3 ,305,669
447,527.2 ,575,669
448,347.6 ,575,674
449,1150.2 ,612,676
450,521.7 ,677,678
451,9.5 ,675,679
452,7.6 ,676,679
453,15.3 ,680,675
454,14.1 ,679,680
455,36.2 ,681,675
456,188.6 ,627,682
457,12.7 ,680,683
458,639.9 ,684,642
459,12.1 ,679,685
460,17.7 ,676,685
461,14.3 ,683,686
462,7.6 ,687,684
463,637.7 ,645,687
464,1.0 ,688,689
465,7.1 ,687,688
466,14.3 ,690,683
467,13.8 ,690,680
468,12.7 ,685,692
469,7.3 ,694,690
470,829.2 ,695,734
471,445.6 ,697,567
472,355.4 ,698,699
473,523.7 ,699,597
474,306.6 ,703,684
475,7.2 ,704,703
476,302.9 ,688,704
477,304.5 ,705,703
478,306.0 ,704,705
479,50.7 ,706,697
480,770.1 ,607,707
481,247.0 ,707,659
482,14.4 ,708,707
483,55.3 ,709,706
484,85.6 ,709,697
485,936.1 ,711,712
486,983.4 ,711,306
487,205.4 ,669,711
488,604.7 ,713,706
489,934.8 ,714,711
490,903.9 ,731,607
491,1227.5 ,710,705
492,901.0 ,607,731
493,1233.4 ,705,721
494,64.8 ,721,710
495,405.5 ,687,748
496,495.4 ,627,724
497,262.3 ,724,699
498,286.0 ,725,682
499,504.5 ,726,627
500,19.5 ,726,724
501,55.1 ,725,727
502,18.3 ,727,726
503,927.6 ,591,771
504,319.8 ,699,731
505,295.6 ,732,677
506,99.3 ,733,725
507,55.6 ,727,733
508,788.3 ,770,677
509,848.7 ,792,662
510,1259.2 ,665,853
511,1284.0 ,855,658
512,509.7 ,664,739
513,53.0 ,739,740
514,1555.9 ,893,653
515,308.8 ,742,708
516,892.6 ,657,796
517,22.1 ,744,745
518,275.2 ,724,746
519,264.4 ,746,731
520,1292.5 ,850,704
521,403.6 ,748,688
522,81.0 ,749,742
523,69.9 ,756,751
524,936.1 ,566,753
525,708.3 ,744,753
526,404.1 ,754,709
527,25.0 ,753,754
528,129.7 ,755,756
529,623.4 ,783,758
530,648.9 ,760,791
531,105.0 ,763,767
532,890.3 ,739,837
533,279.7 ,754,768
534,1657.1 ,973,721
535,330.5 ,770,756
536,283.0 ,772,771
537,18.1 ,771,774
538,874.2 ,841,742
539,137.9 ,777,770
540,379.6 ,774,778
541,294.1 ,767,779
